Month/Year,Date,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,CPI
1-2020,2020-01-01,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,258.682
2-2020,2020-02-01,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,35.0,259.007
3-2020,2020-03-01,1061.0,128.0,0.0,1280.0,523.0,7993.0,2964.0,3117.0,319.0,49.0,495.0,6740.0,3900.0,103.0,69.0,191.0,515.0,5989.0,2156.0,496.0,355.0,623.0,5236.0,244.0,1657.0,9191.0,7949.0,629.0,928.0,1670.0,167.0,171.0,1113.0,357.0,18620.0,310.0,75853.0,1578.0,120.0,2.0,2197.0,568.0,673.0,4897.0,239.0,460.0,1027.0,108.0,2352.0,3809.0,847.0,275.0,30.0,1235.0,5264.0,162.0,1410.0,109.0,378228.0,258.165
4-2020,2020-04-01,6112.0,231.0,0.0,6290.0,2755.0,42691.0,16792.0,24397.0,4390.0,0.0,3828.0,26938.0,22211.0,0.0,76.0,427.0,1468.0,46914.0,15660.0,6646.0,3381.0,4067.0,22733.0,646.0,20024.0,51465.0,35518.0,4504.0,5752.0,6411.0,206.0,4098.0,3937.0,1786.0,99129.0,3056.0,232438.0,9542.0,978.0,12.0,15806.0,3049.0,1797.0,42405.0,693.0,7831.0,4858.0,2341.0,9189.0,19634.0,3667.0,551.0,36.0,14566.0,7928.0,962.0,5442.0,450.0,1744078.0,256.094
5-2020,2020-05-01,10941.0,124.0,0.0,11261.0,3834.0,63142.0,9218.0,14303.0,4738.0,0.0,4478.0,22428.0,20741.0,0.0,27.0,34.0,818.0,67336.0,16716.0,12241.0,4627.0,4987.0,11783.0,1050.0,30883.0,25562.0,19231.0,19711.0,8562.0,5468.0,43.0,9796.0,3574.0,2502.0,41849.0,4249.0,65352.0,18380.0,1504.0,8.0,17469.0,2796.0,1702.0,27354.0,338.0,6138.0,5569.0,2543.0,11301.0,30250.0,4985.0,104.0,3.0,28732.0,4918.0,883.0,11541.0,343.0,1389120.0,255.944
6-2020,2020-06-01,20129.0,655.0,0.0,54174.0,13049.0,126908.0,7254.0,4087.0,1989.0,0.0,1526.0,96215.0,34124.0,0.0,85.0,264.0,3214.0,22911.0,10983.0,9321.0,3773.0,5880.0,18101.0,798.0,14709.0,6202.0,8005.0,11430.0,11538.0,8650.0,377.0,5071.0,9828.0,1136.0,11797.0,4411.0,22220.0,37682.0,978.0,8.0,16259.0,7332.0,4364.0,14292.0,401.0,1852.0,23741.0,1770.0,20031.0,112451.0,11764.0,220.0,12.0,18139.0,8151.0,891.0,10215.0,583.0,1683237.0,257.217
7-2020,2020-07-01,49602.0,2522.0,0.0,90170.0,21346.0,265810.0,15249.0,3213.0,3133.0,0.0,1799.0,317570.0,104958.0,0.0,99.0,1195.0,14518.0,36876.0,20496.0,15610.0,10853.0,14467.0,58053.0,529.0,20523.0,6664.0,19808.0,18142.0,31210.0,29325.0,2150.0,7006.0,29623.0,801.0,11215.0,8220.0,22228.0,58402.0,2788.0,12.0,39309.0,22710.0,9619.0,24929.0,4243.0,2151.0,50744.0,1994.0,59616.0,252927.0,16380.0,194.0,325.0,26915.0,21318.0,3660.0,24116.0,1236.0,3747003.0,258.543
8-2020,2020-08-01,38081.0,2417.0,0.0,26502.0,18555.0,206252.0,9393.0,2961.0,2575.0,0.0,1866.0,152574.0,84039.0,0.0,1039.0,6361.0,11270.0,56418.0,27972.0,20306.0,13561.0,18162.0,32440.0,428.0,19645.0,8429.0,22412.0,21361.0,24006.0,35563.0,2398.0,8032.0,21128.0,691.0,11478.0,4593.0,19001.0,47203.0,5171.0,14.0,31929.0,22181.0,7927.0,21183.0,9429.0,2823.0,28809.0,4705.0,47960.0,235658.0,11118.0,201.0,728.0,30546.0,16814.0,3624.0,22421.0,1118.0,2954503.0,259.58
9-2020,2020-09-01,28101.0,2655.0,0.0,16183.0,22376.0,107585.0,15703.0,4475.0,2978.0,0.0,1334.0,82967.0,47518.0,0.0,1093.0,4125.0,9877.0,58842.0,25741.0,24024.0,17409.0,20372.0,18478.0,495.0,16226.0,10131.0,24962.0,23157.0,15127.0,43039.0,4399.0,11208.0,10712.0,990.0,15088.0,4011.0,24381.0,37629.0,9474.0,14.0,30803.0,27462.0,6652.0,23923.0,8500.0,2616.0,27740.0,8865.0,40400.0,129872.0,19890.0,120.0,184.0,27585.0,13359.0,5549.0,46272.0,2070.0,2360862.0,260.19
10-2020,2020-10-01,38606.0,7476.0,0.0,26275.0,28389.0,118603.0,48185.0,13185.0,4738.0,0.0,1940.0,95867.0,42689.0,0.0,2193.0,2687.0,22447.0,120513.0,59082.0,39077.0,24201.0,38250.0,19130.0,1037.0,20381.0,24037.0,59329.0,49218.0,21777.0,62414.0,16207.0,24799.0,20724.0,2795.0,39213.0,16584.0,50156.0,63881.0,22145.0,22.0,61594.0,35372.0,11149.0,47699.0,10109.0,7668.0,27228.0,23558.0,61593.0,148168.0,38913.0,386.0,58.0,32814.0,20689.0,8398.0,114412.0,7226.0,3789955.0,260.352
